id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
2021-1130812;2021-02-02;1;Vente;249100.00;9;;"CRS GENERAL GIRAUD";3130;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AB0196;;;46;;;;;;;;;;1;3;Dépendance;;0;;;;;;4.8173160;45.7703020;000AB
2021-1130844;2021-02-04;1;Vente;350000.00;7;;"RUE DE LA PLATIERE";5595;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AT0120;;;65;;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";55.00;0;;;;;;4.8315350;45.7661680;000AT
2021-1130844;2021-02-04;1;Vente;350000.00;7;;"RUE DE LA PLATIERE";5595;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AT0120;;;38;;;;;;;;;;1;3;Dépendance;;0;;;;;;4.8315350;45.7661680;000AT
2021-1130869;2021-02-08;1;Vente;249000.00;10;;"RUE ROMARIN";6115;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AR0051;;;3;27.06;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";28.00;0;;;;;;4.8347750;45.7689200;000AR
2021-1130869;2021-02-08;1;Vente;249000.00;10;;"RUE ROMARIN";6115;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AR0051;;;3;27.06;;;;;;;;;1;2;Appartement;30.00;1;;;;;;4.8347750;45.7689200;000AR
2021-1130873;2021-02-02;1;Vente;1120000.00;65;;"MTE DE LA GRANDE COTE";3305;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0160;;;7;;;;;;;;;;1;2;Appartement;26.00;1;;;;;;4.8320040;45.7706500;000AO
2021-1130873;2021-02-02;1;Vente;1120000.00;65;;"MTE DE LA GRANDE COTE";3305;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0160;;;11;;;;;;;;;;1;2;Appartement;22.00;1;;;;;;4.8320040;45.7706500;000AO
2021-1130873;2021-02-02;1;Vente;1120000.00;65;;"MTE DE LA GRANDE COTE";3305;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0160;;;6;;;;;;;;;;1;2;Appartement;22.00;1;;;;;;4.8320040;45.7706500;000AO
2021-1130873;2021-02-02;1;Vente;1120000.00;65;;"MTE DE LA GRANDE COTE";3305;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0160;;;10;;;;;;;;;;1;2;Appartement;19.00;1;;;;;;4.8320040;45.7706500;000AO
2021-1130873;2021-02-02;1;Vente;1120000.00;65;;"MTE DE LA GRANDE COTE";3305;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0160;;;9;;;;;;;;;;1;2;Appartement;18.00;1;;;;;;4.8320040;45.7706500;000AO
2021-1130873;2021-02-02;1;Vente;1120000.00;65;;"MTE DE LA GRANDE COTE";3305;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0160;;;8;136.70;;;;;;;;;1;2;Appartement;20.00;1;;;;;;4.8320040;45.7706500;000AO
2021-1130873;2021-02-02;1;Vente;1120000.00;65;;"MTE DE LA GRANDE COTE";3305;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0160;;;5;45.10;;;;;;;;;1;2;Appartement;24.00;1;;;;;;4.8320040;45.7706500;000AO
